class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
Edible,Convex,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Flat,Fibrous,Yellow,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Paths
Edible,Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Convex,Smooth,White,Bruises,Anise,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Wood
Edible,Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Paths
Poisonous,Convex,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Scaly,Brown,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Grasses
Edible,Convex,Smooth,Brown,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban
Edible,Convex,Fibrous,Green,No Bruises,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,Brown,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses
Edible,Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses
Edible,Sunken,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Convex,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Smooth,Brown,No Bruises,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Flat,Scaly,Brown,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Bell,Smooth,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Fibrous,Brown,No Bruises,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Flat,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Solitary,Grasses
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Sunken,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Solitary,Urban
Edible,Convex,Fibrous,White,Bruises,Almond,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Wood
Edible,Convex,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Sunken,Fibrous,Green,No Bruises,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Grasses
Edible,Convex,Smooth,Yellow,Bruises,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Wood
Edible,Sunken,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Solitary,Urban
Poisonous,Convex,Smooth,White,Bruises,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses
Edible,Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Flat,Scaly,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Several,Grasses
Edible,Flat,Smooth,Green,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Convex,Smooth,White,No Bruises,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses
Edible,Bell,Smooth,Yellow,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Flat,Fibrous,Green,No Bruises,None,Free,Crowded,Broad,Chocolate,Tapering,Equal,Smooth,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Smooth,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Bell,Scaly,White,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Meadows
Edible,Flat,Smooth,White,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Purple,Several,Wood
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Scattered,Meadows
Edible,Flat,Smooth,White,Bruises,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Poisonous,Convex,Scaly,White,Bruises,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Fibrous,White,Bruises,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Wood
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Poisonous,Convex,Smooth,Brown,Bruises,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Grasses
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths
Edible,Bell,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Sunken,Fibrous,Brown,No Bruises,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Scaly,Brown,Bruises,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,Partial,White,One,Pendant,Black,Solitary,Paths
Edible,Convex,Scaly,Yellow,Bruises,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Convex,Fibrous,Green,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Fibrous,White,White,Partial,White,One,Evanescent,Black,Scattered,Grasses
Edible,Flat,Fibrous,White,No Bruises,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Fibrous,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Scaly,Yellow,Bruises,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Numerous,Meadows
Edible,Bell,Smooth,Yellow,Bruises,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Grasses
Edible,Bell,Scaly,White,Bruises,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Scaly,White,Bruises,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,Partial,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Smooth,Brown,No Bruises,None,Free,Crowded,Broad,Pink,Tapering,Equal,Fibrous,Smooth,White,White,Partial,White,One,Evanescent,Brown,Abundant,Grasses
